"Registration";"Lfz.-Muster/Typ";"Hersteller - Eigentümer/Halter"
"HB-3252";"DG-800 S";"DG-FLUGZEUGBAU GMBH"
"HB-3254";"LS 8-18";"DG-FLUGZEUGBAU GMBH"
"HB-3255";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3256";"DG-500 ELAN ORION";"ELAN LINE D.O.O."
"HB-3259";"ASW 24 B";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3261";"ASW 27";"ALEXANDER SCHLEICHER GMBH & CO."
"HB-3263";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3264";"ASW 27";"ALEXANDER SCHLEICHER GMBH & CO."
"HB-3266";"DG-500 ELAN ORION";"ELAN LINE D.O.O."
"HB-3267";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3269";"ASW 27";"ALEXANDER SCHLEICHER GMBH & CO."
"HB-3271";"LS 4-b";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3274";"DISCUS-2B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3275";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3276";"DG-500 ELAN ORION";"ELAN LINE D.O.O."
"HB-3277";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3278";"ASH 25";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3279";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3280";"DG-800 S";"DG-FLUGZEUGBAU GMBH"
"HB-3281";"DISCUS-2B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3282";"DG-800 S";"DG-FLUGZEUGBAU GMBH"
"HB-3283";"DISCUS-2B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3284";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3286";"DG-800 S";"DG-FLUGZEUGBAU GMBH"
"HB-3288";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3290";"DISCUS-2B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3291";"DISCUS-2B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3293";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3294";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3295";"DG-500 ELAN ORION";"ELAN LINE D.O.O."
"HB-3296";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3297";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3299";"DG-800 S";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-3300";"DISCUS-2B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3302";"DELPHIN III";"HOMEBUILT (CH)"
"HB-3305";"DISCUS-2B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3308";"DG-800 S";"DG-FLUGZEUGBAU GMBH"
"HB-3310";"NIMBUS-3/24.5";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3311";"VENTUS-2C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3312";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3314";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3315";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3318";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3319";"VENTUS-2C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3320";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3321";"VENTUS-2C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3322";"DISCUS-2B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3323";"GLASFLÜGEL 304";"GLASFLÜGEL DEUTSCH-BRASILIANISCHE FLUGZEUG- UND FAHRZEUGBAU GMBH"
"HB-3325";"VENTUS-2A";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3326";"ASH 25";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3328";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-3329";"ASW 27";"ALEXANDER SCHLEICHER GMBH & CO."
"HB-3330";"SZD-55-1";"PZL-BIELSKO"
"HB-3331";"LS 4-b";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3332";"VENTUS-2C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3333";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3334";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3337";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3339";"ASW 28";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3341";"ASW 28";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3342";"DISCUS-2B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3343";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3345";"DG-800 S";"DG-FLUGZEUGBAU GMBH"
"HB-3346";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3347";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3348";"ASW 27";"ALEXANDER SCHLEICHER GMBH & CO."
"HB-3351";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3352";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3353";"ASW 22";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-3354";"DG-500 ELAN TRAINER";"ELAN LINE D.O.O."
"HB-3355";"DISCUS-2B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-336";"SPYR 4";"G.B.M.Z.-ZÜRICH"
"HB-3360";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3361";"DG-1000S";"DG FLUGZEUGBAU GMBH"
"HB-3362";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3363";"ASW 28";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3367";"DG-1000S";"DG FLUGZEUGBAU GMBH"
"HB-3369";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3370";"ASW 28-18";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3371";"ASW 28-18";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3372";"SZD-51-1";"PZL-BIELSKO"
"HB-3376";"ASW 28-18";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3377";"LS 8-18";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-3379";"ASW 28-18";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3380";"DISCUS-2B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3381";"ASW 28-18";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3384";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3385";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3386";"LS8-S";"DG-FLUGZEUGBAU GMBH"
"HB-3387";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3388";"LS8-S";"DG-FLUGZEUGBAU GMBH"
"HB-3389";"LS8-S";"DG-FLUGZEUGBAU GMBH"
"HB-3390";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3391";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3394";"DG-1000S";"DG-FLUGZEUGBAU GMBH"
"HB-3395";"LS8-S";"DG FLUGZEUGBAU GMBH"
"HB-3396";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3398";"DG-808 S";"DG-FLUGZEUGBAU GMBH"
"HB-3399";"NIMBUS-2";"SCHEMPP-HIRTH GMBH & CO KG"
"HB-3400";"DG-1000S";"DG FLUGZEUGBAU GMBH"
"HB-3401";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3403";"ASW 28-18";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3404";"SZD-51-1";"PZL-BIELSKO"
"HB-3406";"DG-1000S";"DG-FLUGZEUGBAU GMBH"
"HB-3407";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3409";"TWIN ASTIR";"BURKHARD GROB FLUGZEUGBAU"
"HB-3411";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3412";"ASW 27-18";"ALEXANDER SCHLEICHER GMBH & CO."
"HB-3413";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3414";"ASW 27-18";"ALEXANDER SCHLEICHER GMBH & CO."
"HB-3415";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3416";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3417";"DG-1000S";"DG-FLUGZEUGBAU GMBH"
"HB-3418";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3421";"VENTUS-2C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3422";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3423";"DG-1000S";"DG-FLUGZEUGBAU GMBH"
"HB-3424";"DISCUS-2B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3425";"ASW 27-18";"ALEXANDER SCHLEICHER GMBH & CO."
"HB-3426";"DISCUS-2B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3427";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3429";"ASW 27-18";"ALEXANDER SCHLEICHER GMBH & CO."
"HB-3430";"ASW 27-18";"ALEXANDER SCHLEICHER GMBH & CO."
"HB-3432";"DG-1000S";"DG-FLUGZEUGBAU GMBH"
"HB-3434";"DG-1000S";"DG-FLUGZEUGBAU GMBH"
"HB-3435";"VENTUS-2C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3436";"DG-800 S";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-3438";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3439";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3441";"DISCUS-2C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3442";"ARCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3443";"ASW 27-18";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3444";"DG-1000S";"DG-FLUGZEUGBAU GMBH"
"HB-3445";"LAK-17A";"JSC ""SPORTINE AVIACIJA IR KO"""
"HB-3447";"DISCUS-2C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3448";"DG-500 ELAN ORION";"ELAN LINE D.O.O."
"HB-3449";"DG-1000S";"DG-FLUGZEUGBAU GMBH"
"HB-3450";"ASW 27-18";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3451";"DISCUS-2C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3452";"DISCUS-2C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3453";"DISCUS-2C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3454";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3458";"ASW 27-18";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3459";"SZD-55-1";"WYTWÓRNIA KONSTRUKCJI KOMPOZYTOWYCH ANDRZEJ PAPIOREK"
"HB-3460";"DUO DISCUS";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-3462";"SZD-56-1";"BIURO PROJEKTOWE B BOGUMIL BERES"
"HB-348";"NORD 1300";"SNCAN (SOCIÉTÉ NATIONALE DE CONSTRUCTIONS AÉRONAUTIQUES DU NORD)"
"HB-3497";"ASG 32";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-3500";"ASW 27-18";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-366";"S 22";"AMATEURBAU"
"HB-369";"SPYR 5";"SEGELFLUGZEUGBAU ZÜRICH E. G."
"HB-373";"MOSWEY III";"MOSWEY-SEGEL-FLUGZEUG WERKE"
"HB-374";"MOSWEY III";"MOSWEY-SEGEL-FLUGZEUG WERKE"
"HB-376";"MOSWEY III";"MOSWEY-SEGEL-FLUGZEUG WERKE"
"HB-380";"MOSWEY III";"MOSWEY-SEGEL-FLUGZEUG WERKE"
"HB-381";"OLYMPIA MEISE";"SEGELFLUGZEUGBAU ZÜRICH E. G."
"HB-384";"OLYMPIA MEISE";"SEGELFLUGZEUGBAU ZÜRICH E. G."
"HB-403";"GRUNAU GB II";"KARPF SEGELFLUGZEUGBAU"
"HB-411";"S 18 II B";"AMATEURBAU"
"HB-437";"S 25 M";"AMATEURBAU"
"HB-442";"KARPF BABY";"KARPF SEGELFLUGZEUGBAU"
"HB-443";"KARPF BABY";"KARPF SEGELFLUGZEUGBAU"
"HB-444";"KARPF BABY";"KARPF SEGELFLUGZEUGBAU"
"HB-449";"S 15 K";"JAKOB SPALINGER, ING."
"HB-461";"KARPF ZÖGLING";"KARPF SEGELFLUGZEUGBAU"
"HB-485";"MOSWEY III";"AMATEURBAU"
"HB-486";"S 18 III";"AMATEURBAU"
"HB-494";"KARPF BABY";"KARPF SEGELFLUGZEUGBAU"
"HB-5001";"SINUS";"PIPISTREL D.O.O. AJDOVSCINA"
"HB-5002";"SINUS";"PIPISTREL D.O.O. AJDOVSCINA"
"HB-5007";"SINUS";"PIPISTREL D.O.O. AJDOVSCINA"
"HB-5008";"SINUS";"PIPISTREL D.O.O. AJDOVSCINA"
"HB-505";"KARPF BABY";"KARPF SEGELFLUGZEUGBAU"
"HB-509";"SPYR 5A";"SG NIDWALDEN & PILATUS"
"HB-510";"S 18 III";"AMATEURBAU"
"HB-511";"M-100 S";"AVIONAUTICA RIO S.P.A."
"HB-522";"MOSWEY IV A";"MOSWEY-SEGEL-FLUGZEUG WERKE"
"HB-532";"FAUVEL AV 36";"AMATEURBAU"
"HB-534";"ELFE M";"AMATEURBAU"
"HB-535";"KA 2B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-536";"KA 6CR";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-538";"KRANICH III";"FOCKE-WULF GMBH"
"HB-545";"MOSWEY III";"AMATEURBAU"
"HB-5501";"SILENT 2";"ALISPORT S.R.L."
"HB-5502";"TAURUS";"PIPISTREL D.O.O. AJDOVSCINA"
"HB-5503";"TAURUS";"PIPISTREL D.O.O. AJDOVSCINA"
"HB-5512";"SILENT 2 ELECTRO";"ALISPORT S.R.L."
"HB-5515";"SILENT 2 TARGA";"ALISPORT S.R.L."
"HB-552";"WLM 1";"R. SÄGESSER, FLUGZEUGBAU"
"HB-5520";"TAURUS";"PIPISTREL D.O.O. AJDOVSCINA"
"HB-5544";"TAURUS";"PIPISTREL D.O.O. AJDOVSCINA"
"HB-5550";"TAURUS";"PIPISTREL D.O.O. AJDOVSCINA"
"HB-556";"WEIHE 50";"FOCKE-WULF GMBH"
"HB-557";"T.31B";"SLINGSBY AIRCRAFT CO LTD."
"HB-568";"FAUVEL AV 36";"AMATEURBAU"
"HB-575";"L-SPATZ 55";"SCHEIBE FLUGZEUGBAU GMBH"
"HB-580";"GRUNAU BABY III";"AMATEURBAU"
"HB-587";"KA 2B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-595";"RHÖNLERCHE II";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-597";"RHÖNLERCHE II";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-602";"KA 6BR";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-608";"RHÖNLERCHE II";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-609";"KA 6BR";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-610";"RHÖNLERCHE II";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-612";"L-SPATZ 55";"SCHEIBE FLUGZEUGBAU GMBH"
"HB-625";"KA 6B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-643";"KA 6CR";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-649";"RHÖNLERCHE II";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-651";"KA 6CR";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-652";"K 7";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-653";"K 7";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-654";"KA 6CR";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-664";"RHÖNLERCHE II";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-671";"K 8B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-687";"K 7";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-692";"RHÖNLERCHE II";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-693";"SZD-22B";"ZAKLADY SPRZETU LOTNICTWA SPORTOWEGO"
"HB-695";"K 8B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-703";"KA 6CR";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-704";"K 8B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-708";"RHÖNLERCHE II";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-710";"K 8B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-711";"KA 6CR";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-724";"KA 2B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-730";"KA 6CR";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-733";"KA 2B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-736";"ELFE MN";"SEGELFLUGZEUGBAU A. NEUKOM"
"HB-737";"L-SPATZ 55";"SCHEIBE FLUGZEUGBAU GMBH"
"HB-744";"T.31B";"SLINGSBY AVIATION LTD."
"HB-752";"K 8B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-757";"RHÖNLERCHE II";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-759";"SZD-22C";"ZAKLADY SPRZETU LOTNICTWA SPORTOWEGO"
"HB-762";"HBV-DIAMANT";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-765";"K 8B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-767";"T.50";"SLINGSBY SAILPLANES LTD."
"HB-768";"K 7";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-771";"KA 6CR";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-789";"KA 6CR-PE";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-790";"K 8B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-793";"KA 6CR";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-796";"KA 6CR";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-804";"ELFE S2/3V";"SEGELFLUGZEUGBAU A. NEUKOM"
"HB-807";"RHÖNLERCHE II";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-811";"K 8B";"HANS GÖTZ FLUGZEUGBAU"
"HB-816";"KA 6CR";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-827";"RHÖNLERCHE II";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-828";"K 8B";"HANS GÖTZ FLUGZEUGBAU"
"HB-830";"K 8B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-833";"MG 23 SL";"OBERLERCHNERWERKE"
"HB-842";"ELFE S2/3P";"SEGELFLUGZEUGBAU A. NEUKOM"
"HB-845";"ELFE S3P";"SEGELFLUGZEUGBAU A. NEUKOM"
"HB-846";"K 8B";"HANS GÖTZ FLUGZEUGBAU"
"HB-850";"KA 6E";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-852";"SB-7";"HOMEBUILT (CH)"
"HB-859";"ELFE S2/3";"SEGELFLUGZEUGBAU A. NEUKOM"
"HB-860";"RHÖNLERCHE II";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-87";"GRUNAU BABY II";"EDMUND SCHNEIDER, FLUGZEUGBAU"
"HB-871";"KA 6CR";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-872";"AN 66";"SEGELFLUGZEUGBAU A. NEUKOM"
"HB-887";"CASTEL C-25 S";"FOUGA & CIE."
"HB-901";"AN 66";"SEGELFLUGZEUGBAU A. NEUKOM"
"HB-902";"ELFE S3P";"SEGELFLUGZEUGBAU A. NEUKOM"
"HB-904";"AN 66 B";"SEGELFLUGZEUGBAU A. NEUKOM"
"HB-909";"H 301";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-916";"DIAMANT 18";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-917";"DIAMANT 18";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-919";"PHOEBUS A1";"WAGGON- UND MASCHINENBAU AG"
"HB-940";"DIAMANT 16.5";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-943";"K 8B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-949";"STANDARD LIBELLE";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-957";"FS-1";"HOMEBUILT (CH)"
"HB-969";"RHÖNLERCHE II";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-977";"ELFE S4";"AMATEURBAU"
"HB-982";"ELFE 17";"AMATEURBAU"
"HB-ACA";"ATR 72-212A";"ATR - GIE AVIONS DE TRANSPORT RÉGIONAL"
"HB-ACB";"ATR 72-212A";"ATR - GIE AVIONS DE TRANSPORT RÉGIONAL"
"HB-ACC";"ATR 72-212A";"ATR - GIE AVIONS DE TRANSPORT RÉGIONAL"
"HB-ACD";"ATR 72-212A";"ATR - GIE AVIONS DE TRANSPORT RÉGIONAL"
"HB-AEM";"1900D";"RAYTHEON AIRCRAFT COMPANY"
"HB-AEO";"DO 328-100";"DORNIER LUFTFAHRT GMBH"
"HB-AER";"DO 328-100";"DORNIER LUFTFAHRT GMBH"
"HB-AEY";"DO 328-100";"FAIRCHILD DORNIER GMBH"
"HB-AFE";"BÜ 131";"DORNIER-WERKE AG"
"HB-AFF";"ATR 42-320";"ATR - GIE AVIONS DE TRANSPORT RÉGIONAL"
"HB-AFO";"DH 60 G";"DE HAVILLAND AIRCRAFT CORP."
"HB-ALL";"ATR 72-202";"ATR - GIE AVIONS DE TRANSPORT RÉGIONAL"
"HB-ALM";"ATR 72-202";"ATR - GIE AVIONS DE TRANSPORT RÉGIONAL"
"HB-ALP";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-ALQ";"ATR 72-202";"ATR - GIE AVIONS DE TRANSPORT RÉGIONAL"
"HB-BBJ";"NL-STU/840";"BALLONBAU WÖRNER GMBH"
"HB-BBQ";"M-130";"ULTRAMAGIC, S.A."
"HB-BCG";"S-55A";"RAVEN INDUSTRIES"
"HB-BCY";"O-84";"CAMERON BALLOONS LTD."
"HB-BFQ";"S-66A";"MANUFACTURE FRANCAISE DE MONTGOLFIÈRES"
"HB-BJO";"BFB 1050";"BALLONFABRIK BRONSCHHOFEN AG"
"HB-BJQ";"21A";"THUNDER & COLT LTD."
"HB-BKF";"O-160";"CAMERON BALLOONS LTD."
"HB-BLU";"N-105";"CAMERON BALLOONS LTD."
"HB-BMA";"V-42";"CAMERON BALLOONS LTD."
"HB-BMD";"FIRE BALLOONS G 26/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-BNO";"N-105";"CAMERON BALLOONS LTD."
"HB-BPY";"FS-57A";"MANUFACTURE FRANCAISE DE MONTGOLFIÈRES"
"HB-BQO";"FIREFLY 8";"THE BALLOON WORKS (TBW)"
"HB-BRN";"V-77";"CAMERON BALLOONS LTD."
"HB-BRZ";"N-120";"CAMERON BALLOONS LTD."
"HB-BSF";"V-56";"CAMERON BALLOONS LTD."
"HB-BSI";"105A";"THUNDER & COLT LTD."
"HB-BSL";"K-STU/1000";"BALLONBAU WÖRNER GMBH"
"HB-BTF";"N-90";"CAMERON BALLOONS LTD."
"HB-BTO";"M-105";"ULTRAMAGIC, S.A."
"HB-BUH";"O-90";"CAMERON BALLOONS LTD."
"HB-BUI";"N-105";"CAMERON BALLOONS LTD."
"HB-BVB";"S-49A";"AEROSTAR INTERNATIONAL, INC."
"HB-BVI";"AS 105 MKII";"THUNDER & COLT LTD."
"HB-BVV";"AX9-140 S2";"THUNDER & COLT LTD."
"HB-BWA";"DP-90";"CAMERON BALLOONS LTD."
"HB-BWP";"SPECIAL SHAPE (KATER)";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-BXB";"RX-8";"AEROSTAR INTERNATIONAL, INC."
"HB-BYC";"AS 105 MKII";"THUNDER & COLT LTD."
"HB-BYH";"N-77";"CAMERON BALLOONS LTD."
"HB-BYM";"RXS-8";"MANUFACTURE FRANCAISE DE MONTGOLFIÈRES"
"HB-BYW";"N-120";"CAMERON BALLOONS LTD."
"HB-BYX";"SPECIAL SHAPE (F-11 MONTGOLFIERE)";"ULTRAMAGIC SA"
